Country,France,Croatia,etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tabs or Spaces,Tabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Years IT / Programming Experience,2 to 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occupation,Back end developer,graphics developer,Data Scientist,Mobile Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop Operating System,Ubuntu,Windows 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop Operating System: write-in,CentOS,OpenSUSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Lang & Tech, Android, Arduino, AngularJS, C, C++, C++11, C#, Cassandra, CoffeeScript, Cordova, Clojure, Cloud, Dart, F#, Go, Hadoop, Haskell, iOS, Java, JavaScript, LAMP, Matlab, MongoDB, Node.js, Objective-C, Perl, PHP, Python, R, Redis, Ruby, Rust, Salesforce, Scala, Sharepoint, Spark, SQL, SQL Server, Swift, Visual Basic, Windows Phone, Wordpress, Write-In
Future Lang & Tech, Android, Arduino, AngularJS, C, C++, C++11, C#, Cassandra, CoffeeScript, Cordova, Clojure, Cloud, Dart, F#, Go, Hadoop, Haskell, iOS, Java, JavaScript, LAMP, Matlab, MongoDB, Node.js, Objective-C, Perl, PHP, Python, R, Redis, Ruby, Rust, Salesforce, Scala, Sharepoint, Spark, SQL, SQL Server, Swift, Visual Basic, Windows Phone, Wordpress, Write-In
Training & Education, No formal training, On the job, Boot camp or night school, Online Class, Mentorship, Industry certification," Some college, but no CS degree", BS in CS, Masters in CS, PhD in CS, Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation,20000 to 40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compensation: midpoint,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employment Status,Employed,Freelancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry,Aerospace,consulting,gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Job Satisfaction,satisfied,somewhat satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchasing Power,Buy Anything,Recommend,No say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remote Status,Full time remote,rarely,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Changed Jobs in last 12 Months,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Open to new job opportunities,Yes,No,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most important aspect of new job opportunity, Salary, Equity, Important decisions, Health insurance, Industry, Tech stack, Company size, Company stage, Work - Life balance, Advancement, Job title, Office location, Quality of colleagues, Company culture, Company reputation, Building something that matters, Remote working, Flexible work options,,,,,,,,,,,,,,,,,,,,,,,,,
How important is remote when evaluating new job opportunity?,Important,Not Important,No Say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most annoying about job search, Finding time, Finding job I'm qualified for, Finding interesting job, Interesting companies rarely respond, Writing and updating CV, Taking time off work to interview, The Interview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How often contacted by recruiters,Week,Day,Rarely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perception of recruiter contact,Fewer,More,Blank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perception of contact form, Email, LinkedIn, Xing, Phone, Stack Overflow Careers, Twitter, Facebook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appealing message traits, Message is personalized, Code or projects mentioned, Stack Overflow activity mentioned, Team described, Company culture described, Salary information, Benefits & Perks, Stack Overflow Company Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most urgent info about job opportunity, Salary, Benefits, Company name, Tech stack, Office location, Job title, Colleagues, Product details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who do you want to communicate with about a new job opportunity, Headhunter, In-house recruiter, In-house tech recruiter, Manager, Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How can companies improve interview process, More live code, Flexible interview schedule, Remote interviews, Introduce me to boss, Introduce me to team, Gimme coffee, Show me workplace, Fewer brainteasers, Better preparation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why try Stack Overflow Careers, No spam, Jobs site for programmers, Selection of revelant jobs, Showcase Stack Overflow activity, Jobs are on Stack Overflow, Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many caffeinated beverages per day?,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How many hours programming as hobby per week?,5 to 10,2 to 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How frequently land on or read Stack Overflow,Day,week,month,rare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred text editor,Sublime,Vim,Notepad+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preferred text editor: write-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefered IDE theme,Light,Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source control used, Git, Mercurial, SVN, CVS, Perforce, TFS, DCVS, Bitkeeper, Legacy / Custom, I don't use source control, write-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefered Source Control,Git,TFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prefered Source Control: write-in,Fossil,Never tried them all,Clearcase,SSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why use Stack Overflow, Help for job, To give help, Can't do job without it, Maintain online presence, Demonstrate expertise, Communicate with others, Receive help on personal projects, Love to learn, I don't use Stack Overflow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How often are Stack Overflow's answers helpful,Usually,Sometimes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Why answer, Help a programmer in need, Help future programmers, Demonstrate expertise, Self promotion, Sense of responsibility to developers, No idea, I don't answer and I don't want to, I don't answer but I want to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Targetted recruitment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recommended courses for professions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courses recommended for occupations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jobs in India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suggesting interview styles per occupation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How much money to expect for my cadre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
